org_id,footprints_used,source_event_timestamp
6,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.3484613,52.455192],[13.3485738,52.45643],[13.3485786,52.4572764],[13.3485353,52.457903],[13.3484046,52.4587637],[13.3478273,52.4588785],[13.3480584,52.4585119],[13.3468519,52.4584987],[13.3468353,52.4589509],[13.3466075,52.4589409],[13.3466685,52.4566742],[13.3462457,52.4540429],[13.3473406,52.453964],[13.3482666,52.4539465],[13.3484613,52.455192]],[[13.348012,52.4582673],[13.3480268,52.4580602],[13.3478058,52.4580543],[13.347791,52.4582614],[13.348012,52.4582673]],[[13.3470173,52.4584245],[13.3476872,52.458436],[13.3477071,52.4580044],[13.3470086,52.4579924],[13.3469918,52.4583546],[13.3470173,52.4584245]],[[13.3470671,52.4564376],[13.3482148,52.4563729],[13.3478753,52.4542262],[13.3467434,52.454294],[13.3470671,52.4564376]],[[13.3470007,52.457784],[13.3473956,52.4577931],[13.3481605,52.4577905],[13.3482225,52.4566037],[13.347073,52.456602],[13.3470007,52.457784]]]},""properties"":{}}",2024-07-01T04:00:28.008Z
33,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.3691604,52.4540552],[13.368815,52.4539495],[13.3686268,52.4542503],[13.3684092,52.4541819],[13.3675344,52.4539721],[13.367355,52.4538352],[13.3672276,52.453841],[13.3670824,52.4539243],[13.3669173,52.4541383],[13.3665148,52.4542194],[13.3665307,52.4544286],[13.3654894,52.4540001],[13.3660845,52.4535135],[13.3657579,52.4532865],[13.3659095,52.4531562],[13.3663808,52.4529229],[13.3657173,52.4524537],[13.365461,52.4521554],[13.3653639,52.4518877],[13.3654133,52.4517399],[13.3656236,52.4515553],[13.3658538,52.4514699],[13.3662324,52.4514496],[13.3665102,52.4515159],[13.3667306,52.4516512],[13.366836,52.4518165],[13.3668375,52.4519601],[13.3674294,52.4524041],[13.3682115,52.4520208],[13.3693564,52.4528904],[13.369643,52.4530507],[13.3697687,52.4530826],[13.3696037,52.4533703],[13.369448,52.4535936],[13.3691604,52.4540552]],[[13.3687169,52.4535849],[13.3692868,52.4536544],[13.3696026,52.4531461],[13.3693796,52.4530431],[13.3685962,52.4533406],[13.3686991,52.453489],[13.3687169,52.4535849]]]},""properties"":{}}",2024-07-01T04:01:21.664Z
68,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.2740951,52.5870147],[13.2746473,52.5862511],[13.2754563,52.5850674],[13.2753557,52.5849051],[13.2754278,52.5847162],[13.2749756,52.584349],[13.2749857,52.5837778],[13.2746761,52.5832495],[13.2742241,52.5827714],[13.2740888,52.582518],[13.2740761,52.5823996],[13.274151,52.5820875],[13.2743361,52.581862],[13.2745107,52.5817948],[13.2746753,52.5817849],[13.2747165,52.5819763],[13.27483,52.5819502],[13.2750654,52.5828625],[13.2755041,52.5838855],[13.2757769,52.5844214],[13.2759498,52.5846119],[13.276282,52.5848271],[13.2765289,52.584927],[13.276975,52.5850169],[13.2769298,52.5850913],[13.276456,52.585034],[13.2748761,52.5872168],[13.2745972,52.5876832],[13.2740611,52.5884742],[13.273626,52.5888537],[13.2727181,52.5893259],[13.2718992,52.5896822],[13.2718132,52.5897356],[13.2709115,52.5894841],[13.2709038,52.5893891],[13.2716368,52.5890388],[13.2717894,52.5889787],[13.2721928,52.589276],[13.2724398,52.5892306],[13.2720605,52.5889248],[13.2724258,52.5887369],[13.27283,52.5885045],[13.2731315,52.5882221],[13.2735114,52.5878095],[13.2737899,52.5874559],[13.2740951,52.5870147]],[[13.2721935,52.5893773],[13.2717571,52.5890695],[13.2710473,52.5893931],[13.2717051,52.5895954],[13.2721935,52.5893773]]]},""properties"":{}}",2024-07-01T04:02:13.114Z
36,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.5764501,52.5402871],[13.5783527,52.5401093],[13.5803637,52.5399432],[13.5800798,52.5417425],[13.5798006,52.541829],[13.5797319,52.5420916],[13.5793273,52.5424147],[13.5794552,52.5426118],[13.5796566,52.543115],[13.5799326,52.5434383],[13.5802676,52.5437254],[13.580866,52.5440129],[13.5819674,52.5446787],[13.5821801,52.5449191],[13.5822892,52.5451531],[13.58239,52.5459835],[13.5825759,52.5461041],[13.5831801,52.5463254],[13.5834015,52.5464343],[13.5836387,52.5470908],[13.5836448,52.5474139],[13.5837258,52.5475389],[13.5840538,52.5478197],[13.5841744,52.5479589],[13.5842443,52.5481038],[13.5842803,52.5482979],[13.584161,52.548638],[13.5840758,52.5487256],[13.5837251,52.5489418],[13.5837133,52.5488862],[13.5839649,52.5484721],[13.5840433,52.5482325],[13.5839471,52.5480716],[13.5830645,52.5478304],[13.5833865,52.546934],[13.5832555,52.546899],[13.5831998,52.5468205],[13.5832374,52.5466479],[13.5831887,52.5465084],[13.5822889,52.5462655],[13.5789713,52.545391],[13.5777799,52.5450967],[13.5780068,52.5448565],[13.5779528,52.544547],[13.5771581,52.5443513],[13.577261,52.5438566],[13.577136,52.5438583],[13.5771074,52.543717],[13.5771269,52.5431946],[13.5770895,52.5429479],[13.5764501,52.5402871]],[[13.5813092,52.5451449],[13.5811888,52.5450302],[13.5813629,52.5446927],[13.5805845,52.5445512],[13.5805393,52.5446416],[13.5803987,52.5445856],[13.5803049,52.5446303],[13.5800367,52.5451182],[13.5810609,52.5453253],[13.5812208,52.5452963],[13.5813092,52.5451449]]]},""properties"":{}}",2024-07-01T04:02:52.249Z
19,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.5790523,52.5606246],[13.5784898,52.5605494],[13.5784332,52.560449],[13.5783814,52.5602231],[13.5783539,52.559866],[13.5784137,52.5595643],[13.5783838,52.5592894],[13.5785002,52.5590356],[13.578714,52.5588322],[13.5789237,52.5586973],[13.5793046,52.558593],[13.5789069,52.5582093],[13.5786422,52.5578968],[13.5785809,52.5576737],[13.5781689,52.5565257],[13.5781598,52.5557855],[13.578527,52.5552667],[13.5801581,52.5544149],[13.5797077,52.5540868],[13.5797654,52.5539143],[13.5793959,52.5536542],[13.5794134,52.5535992],[13.5796468,52.5535142],[13.5804532,52.5540918],[13.5806854,52.5539365],[13.5812182,52.5536617],[13.5817044,52.5534889],[13.5824158,52.5531287],[13.5823595,52.5530825],[13.5833562,52.5525512],[13.5825586,52.5519925],[13.582558,52.5518585],[13.5829578,52.5518063],[13.5831352,52.5518544],[13.5834219,52.5517175],[13.5838786,52.5514497],[13.5837892,52.5511953],[13.5836653,52.5512116],[13.5835216,52.5508276],[13.5836229,52.5508135],[13.583524,52.5504815],[13.5838544,52.5504165],[13.5839087,52.5503638],[13.5854296,52.550167],[13.5854108,52.5500512],[13.5852076,52.5497641],[13.5860306,52.5497843],[13.5863414,52.5497656],[13.5866984,52.5497071],[13.5867929,52.5501401],[13.5867005,52.5505701],[13.586904,52.5508911],[13.5875452,52.5513082],[13.5889711,52.5513169],[13.5891586,52.5512805],[13.5893144,52.55149],[13.5889555,52.5515699],[13.5878365,52.5517571],[13.5875163,52.5520116],[13.5878411,52.5527929],[13.588021,52.5534427],[13.5880648,52.5540367],[13.5880554,52.555035],[13.5878978,52.5558551],[13.5875607,52.5565519],[13.5871796,52.5572629],[13.5867899,52.5577976],[13.5840626,52.5586244],[13.5833149,52.5588735],[13.5827103,52.5590357],[13.5825892,52.5590831],[13.5809973,52.5597201],[13.5798495,52.5602302],[13.5793482,52.5604956],[13.5790523,52.5606246]],[[13.5788086,52.5604344],[13.5792505,52.5602638],[13.5793275,52.5601684],[13.5795865,52.5601221],[13.5798679,52.5600047],[13.5799873,52.5598907],[13.5803854,52.5597398],[13.5807723,52.5595403],[13.580443,52.5594059],[13.5800673,52.5591487],[13.5797821,52.5590645],[13.5795857,52.5590842],[13.5795533,52.5591725],[13.5793217,52.5591346],[13.5790315,52.5591821],[13.5786552,52.5596708],[13.5785279,52.5603182],[13.5786966,52.5603296],[13.5788086,52.5604344]],[[13.5852039,52.550567],[13.5844426,52.5506522],[13.584442,52.5507887],[13.5843131,52.5508842],[13.5843673,52.5509858],[13.5845246,52.5510939],[13.5847067,52.5511193],[13.5849268,52.5510977],[13.585456,52.5507848],[13.5853851,52.5505938],[13.5852039,52.550567]],[[13.5816012,52.5572765],[13.5816357,52.5573929],[13.5814028,52.5577896],[13.5812735,52.5582036],[13.581157,52.5584623],[13.5808726,52.5587025],[13.5810141,52.5589559],[13.5815292,52.5588999],[13.5813985,52.5586865],[13.5814071,52.5584752],[13.5814632,52.5581561],[13.58164,52.5578241],[13.5817737,52.5572808],[13.5816012,52.5572765]],[[13.5818894,52.5560577],[13.5816686,52.5560053],[13.5809552,52.5563041],[13.5808279,52.5564206],[13.5809281,52.5566372],[13.5810094,52.5566941],[13.5813506,52.556621],[13.5816434,52.5566226],[13.5817933,52.5566602],[13.5819901,52.5566273],[13.5822167,52.556235],[13.5818894,52.5560577]],[[13.58325,52.5545386],[13.5827671,52.5548819],[13.5827671,52.5549294],[13.5831271,52.5549991],[13.5834174,52.5545218],[13.58325,52.5545386]]]},""properties"":{}}",2024-07-01T04:03:22.574Z
39,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.3703705,52.6148279],[13.3692515,52.6145706],[13.369441,52.614243],[13.3693045,52.6142104],[13.3693572,52.614129],[13.3686321,52.613965],[13.3682027,52.6136685],[13.3678308,52.6136218],[13.3677847,52.6135477],[13.3672626,52.6134617],[13.3663404,52.6132667],[13.3659668,52.613845],[13.3636806,52.6133445],[13.366665,52.6086932],[13.3666984,52.6083464],[13.3663044,52.6079952],[13.3658121,52.6077169],[13.3634268,52.6071435],[13.3635363,52.607019],[13.3719826,52.6067057],[13.3720105,52.6068043],[13.3755382,52.6067574],[13.3758352,52.6071678],[13.3735982,52.6077877],[13.3745157,52.6087773],[13.3723686,52.6088942],[13.3727246,52.6093993],[13.3731359,52.6100753],[13.3732964,52.6104546],[13.3732538,52.6107868],[13.3703705,52.6148279]],[[13.3688377,52.608264],[13.369261,52.6079239],[13.368087,52.607606],[13.3679032,52.6070255],[13.3668692,52.6070203],[13.3665828,52.6079305],[13.3670429,52.6080589],[13.3685449,52.6084992],[13.3688377,52.608264]]]},""properties"":{}}",2024-07-01T04:03:46.509Z
27,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.3844765,52.5381745],[13.3835747,52.5386258],[13.3825708,52.5377325],[13.3835548,52.5369019],[13.3837798,52.5370892],[13.3833818,52.5372601],[13.3836906,52.5375269],[13.3838045,52.5374787],[13.3839528,52.5376425],[13.3843396,52.5374538],[13.3846441,52.5377166],[13.3843537,52.5378424],[13.384309,52.5379857],[13.3844765,52.5381745]],[[13.3836172,52.5380869],[13.3838753,52.5381759],[13.3839908,52.5381279],[13.3839876,52.5379758],[13.3838722,52.5378725],[13.38389,52.5377962],[13.3836742,52.5377],[13.3836608,52.5376321],[13.3834294,52.5376698],[13.3832386,52.5377974],[13.3833401,52.5378388],[13.3833364,52.5379372],[13.3836172,52.5380869]]]},""properties"":{}}",2024-07-01T04:04:39.128Z
74,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[13.3703757,52.5835776],[13.3690568,52.583299],[13.3688124,52.5831966],[13.3677762,52.5830404],[13.3691727,52.5822271],[13.3693849,52.5821594],[13.3703801,52.5815838],[13.371736,52.580807],[13.374029,52.5794432],[13.3747646,52.5789975],[13.3757809,52.5784162],[13.3760556,52.5783419],[13.3762109,52.5783438],[13.3758744,52.5792602],[13.3756059,52.5793425],[13.3754608,52.5794892],[13.3755162,52.5796568],[13.3757484,52.579793],[13.3756109,52.5808099],[13.3754208,52.5811784],[13.375276,52.5813857],[13.3750162,52.581499],[13.37408,52.5821063],[13.37314,52.5824805],[13.3710716,52.5830631],[13.3707607,52.5836025],[13.3704679,52.5835502],[13.3703757,52.5835776]],[[13.3744189,52.5793881],[13.3744297,52.5794803],[13.3746287,52.5794717],[13.3746179,52.5793794],[13.3744189,52.5793881]],[[13.3734549,52.5800666],[13.3733487,52.5801299],[13.3734859,52.5802148],[13.3735921,52.5801515],[13.3734549,52.5800666]],[[13.370771,52.5816438],[13.3718362,52.5822957],[13.3718989,52.5822945],[13.3722492,52.5820759],[13.3711528,52.581412],[13.370771,52.5816438]],[[13.3744083,52.5800167],[13.3740999,52.5802018],[13.3738918,52.580079],[13.3715041,52.5815394],[13.3726092,52.5822182],[13.3750027,52.5807577],[13.3748135,52.5806352],[13.3751047,52.5804383],[13.3744083,52.5800167]],[[13.3694279,52.5829664],[13.3696254,52.5831188],[13.369831,52.5831708],[13.3701294,52.5831605],[13.3703008,52.5831017],[13.3713445,52.5825261],[13.371434,52.5824009],[13.3713843,52.5821843],[13.3712594,52.5820793],[13.3709379,52.5819878],[13.3706643,52.5819996],[13.3705491,52.5820312],[13.3694992,52.5826431],[13.3694056,52.5827391],[13.3694279,52.5829664]]],[[[13.3762077,52.5809476],[13.3758773,52.5807926],[13.3760136,52.5797846],[13.3762443,52.579698],[13.3763355,52.5796095],[13.3763373,52.5794453],[13.3761373,52.5792908],[13.3765144,52.5782311],[13.3768811,52.5778941],[13.3770185,52.5777382],[13.3777053,52.5771201],[13.3801296,52.5778668],[13.3804058,52.5775356],[13.3804651,52.5770234],[13.3804311,52.5767344],[13.3814785,52.575465],[13.3821864,52.5745926],[13.3812393,52.5742564],[13.3822092,52.5734442],[13.3822633,52.5734595],[13.383521,52.5729353],[13.3837047,52.5728711],[13.3840207,52.57287],[13.388337,52.5738535],[13.3886508,52.5739787],[13.3862224,52.5734757],[13.3856142,52.5742202],[13.3877393,52.5746509],[13.388117,52.574718],[13.388321,52.5747127],[13.3889769,52.5741108],[13.3894212,52.574329],[13.3901737,52.5746557],[13.3921168,52.5755544],[13.3919992,52.575627],[13.3913384,52.5758804],[13.390637,52.5761679],[13.3901393,52.5763819],[13.388647,52.5769934],[13.3875306,52.5774382],[13.3872089,52.5777496],[13.3870269,52.5778471],[13.3863816,52.5781494],[13.3849356,52.5785979],[13.3845313,52.5787581],[13.3838584,52.5789948],[13.3828684,52.5792579],[13.3822388,52.5793906],[13.3805052,52.5798718],[13.3779592,52.5805555],[13.3767325,52.5807417],[13.3762077,52.5809476]],[[13.3830502,52.5772331],[13.3836624,52.5774506],[13.3840232,52.5770757],[13.3834109,52.5768581],[13.3830502,52.5772331]],[[13.3822174,52.576033],[13.3827563,52.5761531],[13.3834091,52.5753525],[13.3820804,52.5749051],[13.3820344,52.5749629],[13.3822382,52.5750323],[13.3815799,52.5758348],[13.3819891,52.5759621],[13.382434,52.5754321],[13.3826392,52.5753746],[13.382658,52.5755136],[13.3822174,52.576033]],[[13.3830845,52.5740494],[13.3840339,52.5743408],[13.3841408,52.5743099],[13.3845938,52.5737867],[13.3836676,52.5734959],[13.3830845,52.5740494]],[[13.3771165,52.5797104],[13.3771472,52.5798671],[13.3773958,52.5799715],[13.3776168,52.5800256],[13.3779535,52.5800546],[13.3783257,52.5800107],[13.3787216,52.5799883],[13.3792403,52.5798652],[13.3793753,52.5797906],[13.3797589,52.579744],[13.3800413,52.5796657],[13.3800351,52.5795388],[13.3801702,52.5794885],[13.3799577,52.5792281],[13.3799124,52.5791269],[13.3798123,52.5790742],[13.3796236,52.5792926],[13.3795062,52.5792804],[13.3794391,52.5791794],[13.3792394,52.5791102],[13.3791574,52.5791358],[13.3791025,52.5793164],[13.3791482,52.5794866],[13.3790316,52.5795332],[13.378737,52.5794698],[13.3779574,52.5795221],[13.3777242,52.5795202],[13.377448,52.5794736],[13.377313,52.579675],[13.3771165,52.5797104]],[[13.3886518,52.5756558],[13.3889694,52.5758071],[13.3893041,52.5758697],[13.3894844,52.575781],[13.3892784,52.5756089],[13.3890552,52.5755515],[13.388875,52.5754733],[13.3886518,52.5756558]],[[13.3839907,52.5735191],[13.3845731,52.5737024],[13.3846787,52.5735785],[13.3844455,52.5734828],[13.3840966,52.5733949],[13.3839907,52.5735191]],[[13.382959,52.5742319],[13.3829022,52.5742949],[13.3831323,52.5743717],[13.3831891,52.5743087],[13.382959,52.5742319]],[[13.3828151,52.5743882],[13.3827761,52.574436],[13.3837706,52.5747355],[13.3838096,52.5746877],[13.3828151,52.5743882]],[[13.3834423,52.5757086],[13.3839828,52.5758641],[13.3846156,52.5750523],[13.3840751,52.5748967],[13.3834423,52.5757086]],[[13.381529,52.5771953],[13.3820225,52.5772865],[13.3822183,52.5772605],[13.3823229,52.5773517],[13.3824839,52.5772784],[13.3825804,52.5773371],[13.3826099,52.5774381],[13.3827628,52.5774137],[13.3828594,52.5773436],[13.3830418,52.5771121],[13.3829855,52.5769605],[13.383023,52.5767112],[13.3829077,52.5766394],[13.3826529,52.5767438],[13.3824758,52.5767063],[13.3822157,52.5765857],[13.3820601,52.576659],[13.3821888,52.5768057],[13.3821513,52.57691],[13.3818402,52.5770323],[13.381529,52.5771953]]]]},""properties"":{}}",2024-07-01T04:04:51.411Z
11,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.4048387,52.5793591],[13.4031673,52.5790125],[13.4038078,52.5776408],[13.4039379,52.5775249],[13.4041611,52.5771206],[13.4044682,52.5768976],[13.404752,52.5767733],[13.404915,52.5768427],[13.4053681,52.5769269],[13.4054004,52.5768626],[13.4059321,52.5769614],[13.4062104,52.5770385],[13.4061757,52.5771083],[13.4065957,52.5771767],[13.4066681,52.57703],[13.4069487,52.5770758],[13.407187,52.5764875],[13.4064548,52.5763616],[13.4064162,52.5762998],[13.4070668,52.5750224],[13.4071424,52.5749641],[13.4076551,52.5739486],[13.4079863,52.5740638],[13.4081456,52.5742857],[13.4083781,52.5745619],[13.4088776,52.5748629],[13.4091466,52.5750396],[13.4093689,52.5751523],[13.4096835,52.5754598],[13.4099148,52.5756441],[13.4101464,52.5757524],[13.411338,52.576708],[13.4113466,52.5768665],[13.4116464,52.5771047],[13.4118845,52.5772649],[13.4123106,52.5775065],[13.4142761,52.5782454],[13.4147248,52.5783908],[13.4152248,52.5785162],[13.415528,52.5785637],[13.4161479,52.5786216],[13.416149,52.5791494],[13.4157152,52.5792263],[13.4157157,52.5795574],[13.4157622,52.5797095],[13.4157957,52.5800573],[13.4159385,52.5802634],[13.4160538,52.5802747],[13.4163738,52.5804071],[13.4180442,52.5807562],[13.4184601,52.5807974],[13.4185961,52.5808326],[13.4187631,52.580746],[13.4193446,52.5807082],[13.419509,52.5807512],[13.4192274,52.5810707],[13.4187515,52.580964],[13.4186622,52.5810934],[13.4185639,52.5810711],[13.4184332,52.5811315],[13.418204,52.5811046],[13.4180385,52.5810143],[13.4161208,52.5806214],[13.4159484,52.5806389],[13.4157449,52.5805996],[13.4155736,52.5804994],[13.414612,52.5803037],[13.414358,52.5802269],[13.4130373,52.5799451],[13.4125883,52.579859],[13.4123952,52.5799332],[13.4122098,52.5799365],[13.411007,52.5797159],[13.4097713,52.5794489],[13.4093446,52.5800105],[13.4094524,52.5800351],[13.4093324,52.5803548],[13.4096465,52.580399],[13.4096006,52.5804993],[13.4093653,52.5804666],[13.4085724,52.5815093],[13.4086744,52.5815735],[13.4086139,52.5818468],[13.4081232,52.5817791],[13.40832,52.5812568],[13.4084768,52.5809243],[13.408857,52.5803059],[13.4087743,52.5801566],[13.4077887,52.5799552],[13.4064908,52.5797056],[13.4062567,52.5796495],[13.4061662,52.5797251],[13.4059163,52.5797348],[13.4057025,52.5796779],[13.4056112,52.5796166],[13.4056174,52.5795187],[13.4048387,52.5793591]],[[13.4135247,52.5785674],[13.4131858,52.578511],[13.4125962,52.5782746],[13.4111142,52.5775652],[13.4105747,52.5772829],[13.4100165,52.5782562],[13.4098971,52.5784339],[13.4097445,52.5787392],[13.4099107,52.5788355],[13.4104171,52.5787963],[13.4107298,52.5788591],[13.4109432,52.5790388],[13.4113221,52.579187],[13.4116646,52.5792478],[13.4119786,52.5793344],[13.4124624,52.5794335],[13.4126661,52.5794198],[13.4129802,52.5794375],[13.4133754,52.5795027],[13.4133548,52.5795475],[13.4136946,52.5796348],[13.4140665,52.5796347],[13.4142634,52.5794],[13.414169,52.5793376],[13.4142961,52.5792061],[13.414118,52.5790563],[13.4139331,52.5787719],[13.4137736,52.5785976],[13.4135247,52.5785674]]]},""properties"":{}}",2024-07-01T04:05:13.713Z
87,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[13.2727298,52.5484962],[13.2726299,52.5481942],[13.2727474,52.5481652],[13.2726762,52.5480114],[13.2726806,52.5477293],[13.2724312,52.5474879],[13.2719829,52.5474898],[13.2717147,52.5476712],[13.2714016,52.5478138],[13.2714364,52.5478462],[13.27095,52.5479368],[13.2708997,52.5482039],[13.2724303,52.5481836],[13.2725451,52.5484954],[13.2704966,52.548505],[13.2705313,52.5482962],[13.2708175,52.5479754],[13.2709782,52.5476931],[13.2713929,52.546834],[13.271684,52.5462864],[13.2723499,52.5450767],[13.2729446,52.5439713],[13.2732232,52.543466],[13.2734711,52.5429559],[13.2736464,52.5426375],[13.2737236,52.5424573],[13.273749,52.5422966],[13.2737009,52.5420074],[13.2737079,52.5418282],[13.2743556,52.5417518],[13.2760188,52.5414513],[13.2786715,52.5411948],[13.2818863,52.5408596],[13.2829429,52.5407264],[13.2847142,52.5404864],[13.2849953,52.5404746],[13.2889612,52.5400723],[13.2909154,52.5398718],[13.2913688,52.5398528],[13.2930311,52.5398058],[13.2930614,52.540114],[13.2935353,52.5401632],[13.2940936,52.5404724],[13.2944073,52.5405965],[13.2947286,52.5405379],[13.2948324,52.54043],[13.2947569,52.5400618],[13.2944515,52.5400842],[13.2943944,52.5397765],[13.2948468,52.5397662],[13.2953046,52.5406085],[13.2977425,52.5450145],[13.297983,52.5453915],[13.2980623,52.5457328],[13.2980511,52.5459458],[13.2979229,52.546277],[13.296757,52.5478766],[13.2965843,52.5479114],[13.2959555,52.5479265],[13.2943834,52.5480545],[13.2936082,52.5481309],[13.2888132,52.5482227],[13.2872119,52.5482567],[13.2806016,52.5483892],[13.2806159,52.5479802],[13.2805278,52.5479332],[13.2805402,52.5478289],[13.2806236,52.5477791],[13.2806205,52.5471362],[13.2804242,52.5464491],[13.2804426,52.5458864],[13.2774504,52.5452629],[13.2773649,52.5454225],[13.2769768,52.5452917],[13.2762125,52.5451567],[13.2762415,52.5450777],[13.2757556,52.5449915],[13.2757116,52.5450779],[13.2750462,52.5449606],[13.2747677,52.5449567],[13.2745269,52.5450077],[13.2742735,52.545111],[13.2739175,52.5459296],[13.2741814,52.5459666],[13.2740722,52.5461975],[13.2738247,52.5461712],[13.2737873,52.5462793],[13.2739059,52.5464457],[13.2735201,52.5473291],[13.27298,52.547247],[13.2728228,52.5476293],[13.2733628,52.5477114],[13.2732565,52.5480191],[13.2731437,52.5480025],[13.273081,52.5481425],[13.2731843,52.5481792],[13.2730631,52.5484968],[13.2727298,52.5484962]],[[13.2830117,52.5430531],[13.2842087,52.5433866],[13.2854169,52.5434102],[13.2855818,52.5434762],[13.2869481,52.5434785],[13.2869606,52.5432062],[13.2866193,52.5430184],[13.2866716,52.5428907],[13.286661,52.5424081],[13.2832442,52.5424069],[13.2832394,52.5426059],[13.2830117,52.5430531]],[[13.2828237,52.54327],[13.28265,52.5431529],[13.2824296,52.5430823],[13.2818886,52.5430411],[13.2818451,52.5428175],[13.2777797,52.5428216],[13.2777733,52.5430895],[13.2777244,52.5431125],[13.2764849,52.543225],[13.276195,52.5433104],[13.2760595,52.5432617],[13.2759361,52.543284],[13.2758888,52.5430368],[13.2753459,52.5431066],[13.2748536,52.5432501],[13.2746988,52.5431826],[13.2744457,52.5433218],[13.2742093,52.5435335],[13.2741632,52.5437014],[13.2741626,52.5440105],[13.2741902,52.5441818],[13.2742755,52.5443143],[13.2744209,52.5444073],[13.2752618,52.5446656],[13.2758519,52.5447908],[13.2759541,52.5444576],[13.276138,52.5444085],[13.2763526,52.5444231],[13.2764402,52.5444884],[13.2777995,52.5446003],[13.2777828,52.5448861],[13.2808126,52.5449016],[13.2818299,52.5448954],[13.2818364,52.5446531],[13.2824311,52.5446538],[13.2827363,52.5445569],[13.2828701,52.5444379],[13.2829145,52.5443028],[13.2833327,52.5443113],[13.2835668,52.5442819],[13.2840949,52.5441014],[13.2843379,52.5440317],[13.284886,52.5440805],[13.2853249,52.5440836],[13.2860613,52.5440192],[13.2863539,52.5440376],[13.2868745,52.5440979],[13.2871226,52.5440784],[13.2874553,52.5441636],[13.2877707,52.544133],[13.2883865,52.5440473],[13.2890175,52.5440673],[13.2893846,52.5439946],[13.2896774,52.5440347],[13.2897846,52.5441075],[13.289962,52.544105],[13.2901856,52.5440297],[13.2903449,52.5442132],[13.2905745,52.5443391],[13.2908462,52.5443253],[13.2912608,52.5441945],[13.2914447,52.5440376],[13.2915338,52.5438952],[13.2915338,52.5437113],[13.2913832,52.5435882],[13.2911358,52.5434663],[13.2904561,52.5433956],[13.2902664,52.5435349],[13.2900688,52.5435542],[13.2897685,52.5434965],[13.2893971,52.5435494],[13.2887944,52.5437163],[13.2885566,52.5436412],[13.2881953,52.543669],[13.287898,52.5436245],[13.2877469,52.5436653],[13.2873212,52.5435499],[13.2871578,52.5436504],[13.2869358,52.543641],[13.2867802,52.5437267],[13.2864925,52.5436267],[13.2860493,52.543691],[13.2856824,52.5436053],[13.2855621,52.5436499],[13.284978,52.5436321],[13.2848224,52.5436553],[13.2847421,52.5437481],[13.2841585,52.5436526],[13.2836758,52.5434169],[13.2834768,52.5433675],[13.2832604,52.5433663],[13.2831483,52.5434122],[13.2829126,52.5433969],[13.2828237,52.54327]],[[13.2776058,52.5418273],[13.277637,52.5419107],[13.2777739,52.5419496],[13.2784303,52.5419226],[13.2787827,52.542012],[13.2790369,52.5422805],[13.2792644,52.5427117],[13.2792776,52.542477],[13.2791391,52.5422043],[13.2788127,52.5418934],[13.2785587,52.5418112],[13.2778104,52.5418893],[13.2776058,52.5418273]],[[13.2856248,52.5441948],[13.2856164,52.5444092],[13.2857172,52.5445114],[13.2858674,52.5445687],[13.2865647,52.5445704],[13.2871192,52.5444917],[13.2871408,52.5443988],[13.2871055,52.5441802],[13.2856248,52.5441948]],[[13.2854086,52.5449258],[13.2860564,52.5449526],[13.2861024,52.5446381],[13.2854515,52.5446113],[13.2854086,52.5449258]]]},""properties"":{}}",2024-07-01T04:05:43.001Z
